surrgain,ev_tdlam_before,meankl,entropy,optimgain,EpLenMean,TimeElapsed,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,EpThisIter
0.040670775,0.987819922156632,0.008628435,37.549316,0.040670775,21.575,211.51001739501953,16142,0.0,307205,18.183475821741677,993
0.04205975,0.9863935699686408,0.008737293,37.34469,0.04205975,20.725,225.68941068649292,17128,0.0,327682,20.471818180616307,986
0.042820998,0.9866330046206713,0.008778962,37.061882,0.042820998,22.125,241.17656993865967,18094,0.0,348147,19.57614613619975,966
0.042268824,0.9894144665449858,0.008885099,36.75078,0.042268824,21.275,255.0474898815155,19064,0.0,368657,19.718230148482302,970
0.04206865,0.9849397949874401,0.008926942,36.42292,0.04206865,20.625,268.9842209815979,20028,0.0,389119,18.33103145056803,964
0.043077223,0.9876012317836285,0.00900075,36.111427,0.043077223,23.35,282.88669180870056,20965,0.0,409592,18.46141702559419,937
0.042393014,0.9853421524167061,0.009068935,35.71765,0.042393014,21.325,296.8126378059387,21900,0.0,430115,20.715572809639884,935
0.042030204,0.9868210526183248,0.009028961,35.366608,0.042030204,22.5,310.6922309398651,22815,0.0,450647,21.159988823627703,915
0.043399405,0.9868990145623684,0.009216448,34.9659,0.043399405,22.75,324.5533368587494,23702,0.0,471143,21.059940707276418,887
0.04385683,0.9848742568865418,0.009198418,34.560474,0.04385683,23.25,338.47479486465454,24574,0.0,491566,23.413119383686016,872
0.042239744,0.9882258493453264,0.009038399,34.189873,0.042239744,23.575,352.37119007110596,25425,0.0,512083,22.01778830456422,851
0.043117046,0.9891027417033911,0.009085235,33.83622,0.043117046,24.65,366.2547585964203,26257,0.0,532592,20.659766844826,832
0.04378862,0.9855667231604457,0.009343537,33.49492,0.04378862,23.7,380.4935290813446,27093,0.0,552995,24.301548422993594,836
0.043337874,0.9844581382349133,0.009398891,33.155098,0.043337874,24.825,394.4358320236206,27901,0.0,573493,23.562701074220207,808
0.04272806,0.9891077084466815,0.009350757,32.747047,0.04272806,25.575,408.41456937789917,28696,0.0,594011,24.144776076073338,795
0.044905085,0.9877746915444732,0.009352858,32.346935,0.044905085,27.625,422.3583343029022,29468,0.0,614482,23.414868544846094,772
0.04508075,0.9883238468319178,0.009423952,31.969181,0.04508075,24.95,436.23686957359314,30217,0.0,634998,24.17378931684157,749
0.04447225,0.9857550654560328,0.009460663,31.612537,0.04447225,27.65,450.078537940979,30968,0.0,655443,25.287643955270877,751
0.044758126,0.9839646797627211,0.009469038,31.315983,0.044758126,26.925,463.93079137802124,31701,0.0,675930,25.180927766202217,733
0.044162557,0.9860051358118653,0.009436602,31.041687,0.044162557,25.675,477.8129312992096,32423,0.0,696426,25.203912600960198,722
0.045442484,0.9860835168510675,0.009439526,30.73013,0.045442484,29.05,491.69757437705994,33133,0.0,716856,26.031523114954336,710
0.04502747,0.9870014023035765,0.009571613,30.414417,0.04502747,29.3,505.59731125831604,33846,0.0,737355,25.840460777238718,713
0.043587387,0.9854462398216128,0.00945854,30.129147,0.043587387,31.75,519.4304571151733,34528,0.0,757761,27.05009783461407,682
0.043675043,0.9797205254435539,0.00947122,29.899006,0.043675043,28.6,533.2689044475555,35209,0.0,778211,27.87055183814911,681
0.046211235,0.9807515908032656,0.009533453,29.606533,0.046211235,30.35,547.13813996315,35881,0.0,798709,27.30331200918393,672
0.04590626,0.9843124076724052,0.009600495,29.329899,0.04590626,30.0,560.9827935695648,36540,0.0,819164,26.02363687277088,659
0.045394853,0.9752653539180756,0.009584285,29.070827,0.045394853,31.8,574.8379831314087,37198,0.0,839686,27.94081124498423,658
0.044062413,0.9783639814704657,0.009520264,28.806885,0.044062413,31.15,588.6683197021484,37852,0.0,860153,28.392138548920165,654
0.04421884,0.9866858273744583,0.00963242,28.546673,0.04421884,33.775,602.4853394031525,38493,0.0,880591,29.984791888871463,641
